university_name,field,exposure_firstjob_beta,n_people
Abat Oliba CEU University,Business,0.527022209894665,102
Abat Oliba CEU University,Economics,0.543192245867225,25
Abat Oliba CEU University,Law,0.458819820005208,30
Abat Oliba CEU University,Marketing,0.517861116673149,19
Autonomous University of Barcelona,Biology,0.484382186186823,204
Autonomous University of Barcelona,Business,0.529565683528001,948
Autonomous University of Barcelona,Chemistry,0.467306945632798,203
Autonomous University of Barcelona,Economics,0.531956446268002,255
Autonomous University of Barcelona,Education,0.395271785057851,73
Autonomous University of Barcelona,Engineering,0.593014020236008,370
Autonomous University of Barcelona,Finance,0.546763860009398,29
Autonomous University of Barcelona,Law,0.502269579207024,218
Autonomous University of Barcelona,Marketing,0.510656884660394,69
Autonomous University of Barcelona,Mathematics,0.559134978084205,127
Autonomous University of Barcelona,Medicine,0.400834011757292,273
Autonomous University of Barcelona,Nursing,0.366840573519832,25
Autonomous University of Barcelona,Physics,0.572078899027915,173
Autonomous University of Barcelona,Statistics,0.632453978662569,41
Autonomous University of Madrid,Biology,0.510249497749998,220
Autonomous University of Madrid,Business,0.518781454477614,870
Autonomous University of Madrid,Chemistry,0.481320662315451,123
Autonomous University of Madrid,Economics,0.537030074396527,307
Autonomous University of Madrid,Education,0.402352013160625,71
Autonomous University of Madrid,Engineering,0.590093777534558,220
Autonomous University of Madrid,Finance,0.550258646776466,52
Autonomous University of Madrid,Law,0.485389461245642,361
Autonomous University of Madrid,Marketing,0.531054402741926,68
Autonomous University of Madrid,Mathematics,0.579571872677879,70
Autonomous University of Madrid,Medicine,0.433939096911321,106
Autonomous University of Madrid,Nursing,0.384881524498598,17
Autonomous University of Madrid,Physics,0.528750314972739,113
Blanquerna - Universitat Ramon Llull,Education,0.352834126851732,15
Blanquerna - Universitat Ramon Llull,Marketing,0.563618810892633,21
CESINE Centro Universitario,Business,0.482065269453042,54
CESINE Centro Universitario,Engineering,0.607888496316502,21
CESINE Centro Universitario,Marketing,0.478941012398527,20
CESMA Business School,Business,0.512718195518364,28
CESMA Business School,Marketing,0.513175054798632,25
"CETT_UB Tourism & Hospitality, Education/Research",Business,0.484555512287532,142
CEU San Pablo University,Architecture,0.49523865079346,126
CEU San Pablo University,Business,0.521292316012625,430
CEU San Pablo University,Economics,0.532460470298987,43
CEU San Pablo University,Education,0.315917294248197,16
CEU San Pablo University,Engineering,0.567774752645615,52
CEU San Pablo University,Finance,0.574764263187812,14
CEU San Pablo University,Law,0.494168318431928,147
CEU San Pablo University,Marketing,0.526997352676269,108
CEU San Pablo University,Medicine,0.396209842169525,34
CFIS-UPC,Engineering,0.585250171796509,26
CIS University,Business,0.49406461939814,51
CIS University,Marketing,0.565336545240515,10
CUNEF University,Business,0.519251510640677,688
CUNEF University,Law,0.523159659207015,24
