ucas_provider,cah1,exposure_firstjob_beta,n_people
A20 University of Aberdeen,(CAH01) medicine and dentistry,0.435745738822631,159
A20 University of Aberdeen,(CAH03) biological and sport sciences,0.447423489142806,433
A20 University of Aberdeen,(CAH07) physical sciences,0.467140777395117,264
A20 University of Aberdeen,(CAH09) mathematical sciences,0.549951990452464,98
A20 University of Aberdeen,(CAH10) engineering and technology,0.483221520751665,577
A20 University of Aberdeen,(CAH15) social sciences,0.502946652489991,53
A20 University of Aberdeen,(CAH16) law,0.469112433065844,1144
A20 University of Aberdeen,(CAH17) business and management,0.48275180722145,228
A20 University of Aberdeen,(CAH22) education and teaching,0.371654137226073,160
A30 Abertay University,(CAH02) subjects allied to medicine,0.40212312997489,34
A30 Abertay University,(CAH03) biological and sport sciences,0.41187170319054,23
A30 Abertay University,(CAH10) engineering and technology,0.545657964580006,968
A30 Abertay University,(CAH11) computing,0.602600162691923,11
A30 Abertay University,(CAH15) social sciences,0.483269079593808,15
A30 Abertay University,(CAH16) law,0.477178369230549,146
A30 Abertay University,(CAH17) business and management,0.512601016556068,1294
A40 Aberystwyth University,(CAH03) biological and sport sciences,0.449850940648319,487
A40 Aberystwyth University,(CAH07) physical sciences,0.508985682865957,132
A40 Aberystwyth University,(CAH09) mathematical sciences,0.521677252491568,239
A40 Aberystwyth University,(CAH10) engineering and technology,0.6276095102972,585
A40 Aberystwyth University,(CAH15) social sciences,0.51016533695169,247
A40 Aberystwyth University,(CAH16) law,0.483152752779999,698
A40 Aberystwyth University,(CAH17) business and management,0.500542665973177,1177
A40 Aberystwyth University,(CAH22) education and teaching,0.426768797154495,100
A60 Anglia Ruskin University,(CAH01) medicine and dentistry,0.393816827764096,20
A60 Anglia Ruskin University,(CAH02) subjects allied to medicine,0.374493926916461,502
A60 Anglia Ruskin University,(CAH03) biological and sport sciences,0.44016238833112,281
A60 Anglia Ruskin University,(CAH07) physical sciences,0.503984462404546,20
A60 Anglia Ruskin University,(CAH09) mathematical sciences,0.609743508345201,11
A60 Anglia Ruskin University,(CAH10) engineering and technology,0.556862427961925,1305
A60 Anglia Ruskin University,(CAH11) computing,0.587721872455288,23
A60 Anglia Ruskin University,"(CAH13) architecture, building and planning",0.440168887678732,215
A60 Anglia Ruskin University,(CAH15) social sciences,0.486237173348489,80
A60 Anglia Ruskin University,(CAH16) law,0.492611987754184,888
A60 Anglia Ruskin University,(CAH17) business and management,0.492246464246441,5512
A60 Anglia Ruskin University,(CAH22) education and teaching,0.386976469992851,607
A66 Arts University Bournemouth,"(CAH13) architecture, building and planning",0.470527032390343,332
A66 Arts University Bournemouth,(CAH17) business and management,0.487674777045872,225
"A80 Aston University, Birmingham",(CAH03) biological and sport sciences,0.503733651583383,202
"A80 Aston University, Birmingham",(CAH07) physical sciences,0.463903165098457,139
"A80 Aston University, Birmingham",(CAH09) mathematical sciences,0.557791992305412,322
"A80 Aston University, Birmingham",(CAH10) engineering and technology,0.547134671292436,1988
"A80 Aston University, Birmingham",(CAH11) computing,0.621464764310888,24
"A80 Aston University, Birmingham",(CAH15) social sciences,0.536292494159777,344
"A80 Aston University, Birmingham",(CAH16) law,0.482049312393901,369
"A80 Aston University, Birmingham",(CAH17) business and management,0.524845279478197,6282
B06 Bangor University,(CAH02) subjects allied to medicine,0.386990924997343,118
B06 Bangor University,(CAH03) biological and sport sciences,0.439428298241782,683
B06 Bangor University,(CAH07) physical sciences,0.470973205283808,180
B06 Bangor University,(CAH09) mathematical sciences,0.538864932337794,13
B06 Bangor University,(CAH10) engineering and technology,0.611729514653237,334
B06 Bangor University,(CAH11) computing,0.650551594760824,10
B06 Bangor University,(CAH15) social sciences,0.53682936292277,45
B06 Bangor University,(CAH16) law,0.475401160914561,343
B06 Bangor University,(CAH17) business and management,0.50538762319086,780
B06 Bangor University,(CAH22) education and teaching,0.373872613649617,215
B07 Belfast Metropolitan College,(CAH10) engineering and technology,0.387402882902895,31
B07 Belfast Metropolitan College,(CAH17) business and management,0.495819936620799,75
B16 University of Bath,(CAH03) biological and sport sciences,0.513550176476513,435
B16 University of Bath,(CAH07) physical sciences,0.533370282320182,635
B16 University of Bath,(CAH09) mathematical sciences,0.5895397706021,1220
B16 University of Bath,(CAH10) engineering and technology,0.576795729807002,922
B16 University of Bath,"(CAH13) architecture, building and planning",0.481944289086921,759
B16 University of Bath,(CAH15) social sciences,0.537653442173214,1844
B16 University of Bath,(CAH17) business and management,0.521100980402023,2964
B16 University of Bath,(CAH22) education and teaching,0.375861080988829,222
B20 Bath Spa University,(CAH03) biological and sport sciences,0.426730026427413,90
B20 Bath Spa University,(CAH10) engineering and technology,0.552240186336183,22
B20 Bath Spa University,(CAH17) business and management,0.487205304267987,1161
B20 Bath Spa University,(CAH22) education and teaching,0.390024612220212,596
B22 University of Bedfordshire,(CAH02) subjects allied to medicine,0.396966346304971,215
B22 University of Bedfordshire,(CAH10) engineering and technology,0.592222286415553,867
B22 University of Bedfordshire,(CAH11) computing,0.56836662116811,35
B22 University of Bedfordshire,"(CAH13) architecture, building and planning",0.472276392710407,58
B22 University of Bedfordshire,(CAH16) law,0.504734724889012,364
B22 University of Bedfordshire,(CAH17) business and management,0.49757184179165,2499
B22 University of Bedfordshire,(CAH22) education and teaching,0.38269472470537,778
B23 Bedford College Group,(CAH10) engineering and technology,0.474952690283839,12
"B24 Birkbeck, University of London",(CAH03) biological and sport sciences,0.492023991027877,45
"B24 Birkbeck, University of London",(CAH07) physical sciences,0.431663287598856,12
"B24 Birkbeck, University of London",(CAH09) mathematical sciences,0.550350126134418,81
"B24 Birkbeck, University of London",(CAH10) engineering and technology,0.594843048535154,137
"B24 Birkbeck, University of London",(CAH11) computing,0.550105419157528,20
"B24 Birkbeck, University of London",(CAH15) social sciences,0.52279127306082,234
"B24 Birkbeck, University of London",(CAH16) law,0.502393970827377,379
"B24 Birkbeck, University of London",(CAH17) business and management,0.526507468215967,1306
B25 Birmingham City University,(CAH02) subjects allied to medicine,0.387864145996484,543
B25 Birmingham City University,(CAH10) engineering and technology,0.539272512701454,2360
B25 Birmingham City University,(CAH11) computing,0.594961675273706,178
B25 Birmingham City University,"(CAH13) architecture, building and planning",0.447633871010489,624
B25 Birmingham City University,(CAH15) social sciences,0.51782187535432,98
B25 Birmingham City University,(CAH16) law,0.482923451056021,1139
B25 Birmingham City University,(CAH17) business and management,0.506318300125745,5332
B25 Birmingham City University,(CAH22) education and teaching,0.380395792431486,549
B32 University of Birmingham,(CAH01) medicine and dentistry,0.448102630990925,403
B32 University of Birmingham,(CAH02) subjects allied to medicine,0.388996852584724,183
B32 University of Birmingham,(CAH03) biological and sport sciences,0.477915865139301,378
B32 University of Birmingham,(CAH07) physical sciences,0.519417887096807,809
B32 University of Birmingham,(CAH09) mathematical sciences,0.555297474855759,1083
B32 University of Birmingham,(CAH10) engineering and technology,0.569798896383543,1760
B32 University of Birmingham,(CAH11) computing,0.604630731811068,14
B32 University of Birmingham,(CAH15) social sciences,0.53159760102057,2139
B32 University of Birmingham,(CAH16) law,0.488076852452556,1844
B32 University of Birmingham,(CAH17) business and management,0.509692757665259,4331
B32 University of Birmingham,(CAH22) education and teaching,0.403304724524867,488
B35 University College Birmingham,(CAH17) business and management,0.446636005373658,1874
B35 University College Birmingham,(CAH22) education and teaching,0.397457161517073,71
B38 Lincoln Bishop University,(CAH09) mathematical sciences,0.443913681436142,12
B38 Lincoln Bishop University,(CAH17) business and management,0.49165257725006,28
B38 Lincoln Bishop University,(CAH22) education and teaching,0.385355625663706,696
B39 BIMM University,(CAH10) engineering and technology,0.424336403000244,18
B39 BIMM University,(CAH17) business and management,0.46408744971359,584
B40 Blackburn College,(CAH10) engineering and technology,0.54873219527666,41
B40 Blackburn College,(CAH16) law,0.450017394714185,19
B40 Blackburn College,(CAH17) business and management,0.472786356685812,109
B40 Blackburn College,(CAH22) education and teaching,0.453671346737188,25
B41 Blackpool and the Fylde College,(CAH03) biological and sport sciences,0.406844657411896,11
B41 Blackpool and the Fylde College,(CAH10) engineering and technology,0.505510129289317,137
B41 Blackpool and the Fylde College,(CAH11) computing,0.612459708380576,22
B41 Blackpool and the Fylde College,(CAH17) business and management,0.463570264723532,127
B44 University of Greater Manchester,(CAH02) subjects allied to medicine,0.365290281338119,52
B44 University of Greater Manchester,(CAH03) biological and sport sciences,0.415704966939036,34
B44 University of Greater Manchester,(CAH09) mathematical sciences,0.490608857278605,65
B44 University of Greater Manchester,(CAH10) engineering and technology,0.499286278402617,833
B44 University of Greater Manchester,(CAH11) computing,0.605412678656301,10
B44 University of Greater Manchester,(CAH16) law,0.488653118038366,138
B44 University of Greater Manchester,(CAH17) business and management,0.497124091372469,942
B44 University of Greater Manchester,(CAH22) education and teaching,0.404409718432651,103
B50 Bournemouth University,(CAH02) subjects allied to medicine,0.370393986066786,252
B50 Bournemouth University,(CAH03) biological and sport sciences,0.441413610317243,57
B50 Bournemouth University,(CAH10) engineering and technology,0.547063830720558,1670
B50 Bournemouth University,(CAH11) computing,0.600814813402261,52
B50 Bournemouth University,"(CAH13) architecture, building and planning",0.501343434309594,19
B50 Bournemouth University,(CAH15) social sciences,0.508725528418932,177
B50 Bournemouth University,(CAH16) law,0.496403398139714,723
B50 Bournemouth University,(CAH17) business and management,0.511549369769804,8902
B50 Bournemouth University,(CAH22) education and teaching,0.413853676135611,20
B54 BPP University,(CAH02) subjects allied to medicine,0.429574728785991,14
B54 BPP University,(CAH11) computing,0.586834502601377,14
B54 BPP University,(CAH16) law,0.49785827949407,229
B54 BPP University,(CAH17) business and management,0.513927086727495,590
B56 University of Bradford,(CAH01) medicine and dentistry,0.437918923334104,11
B56 University of Bradford,(CAH02) subjects allied to medicine,0.386734989303428,150
B56 University of Bradford,(CAH03) biological and sport sciences,0.482829277870691,10
B56 University of Bradford,(CAH07) physical sciences,0.471994603565019,200
B56 University of Bradford,(CAH10) engineering and technology,0.544231679098342,1340
B56 University of Bradford,(CAH11) computing,0.640144006742279,44
B56 University of Bradford,(CAH15) social sciences,0.542527703626261,239
B56 University of Bradford,(CAH16) law,0.490222004385539,304
B56 University of Bradford,(CAH17) business and management,0.517308259843197,1632
B56 University of Bradford,(CAH22) education and teaching,0.457215931026833,31
B68 Bridgend College,(CAH10) engineering and technology,0.371206398108743,13
B68 Bridgend College,(CAH11) computing,0.518831645151276,10
B69 Burnley College,(CAH10) engineering and technology,0.327892522372681,20
B69 Burnley College,(CAH17) business and management,0.407251208982017,10
B72 University of Brighton,(CAH01) medicine and dentistry,0.326577773172216,19
B72 University of Brighton,(CAH02) subjects allied to medicine,0.389062077150208,249
B72 University of Brighton,(CAH03) biological and sport sciences,0.493239847635397,30
B72 University of Brighton,(CAH07) physical sciences,0.444375009423165,69
B72 University of Brighton,(CAH09) mathematical sciences,0.571566834533042,197
B72 University of Brighton,(CAH10) engineering and technology,0.544448359193597,1207
B72 University of Brighton,(CAH11) computing,0.557951290090908,27
B72 University of Brighton,"(CAH13) architecture, building and planning",0.472176210397698,740
B72 University of Brighton,(CAH15) social sciences,0.490956087016224,78
B72 University of Brighton,(CAH16) law,0.476172355310957,286
B72 University of Brighton,(CAH17) business and management,0.501810979962167,5262
B72 University of Brighton,(CAH22) education and teaching,0.383903619069835,947
B74 Brighton and Sussex Medical School,(CAH01) medicine and dentistry,0.453486017834852,191
B78 University of Bristol,(CAH01) medicine and dentistry,0.409992820650311,602
B78 University of Bristol,(CAH02) subjects allied to medicine,0.317935756774081,55
B78 University of Bristol,(CAH03) biological and sport sciences,0.493913610035403,632
B78 University of Bristol,(CAH07) physical sciences,0.526169866979894,1164
B78 University of Bristol,(CAH09) mathematical sciences,0.555655147478875,1069
B78 University of Bristol,(CAH10) engineering and technology,0.57506394064223,858
B78 University of Bristol,(CAH11) computing,0.587949804270978,10
B78 University of Bristol,(CAH15) social sciences,0.524844681565404,1812
B78 University of Bristol,(CAH16) law,0.482936324164699,1785
B78 University of Bristol,(CAH17) business and management,0.520647308224232,1443
B78 University of Bristol,(CAH22) education and teaching,0.395650774622808,58
"B80 Bristol, UWE",(CAH01) medicine and dentistry,0.403317232107299,10
"B80 Bristol, UWE",(CAH02) subjects allied to medicine,0.387144076376872,428
"B80 Bristol, UWE",(CAH03) biological and sport sciences,0.472278919369621,214
"B80 Bristol, UWE",(CAH07) physical sciences,0.470489843589015,50
"B80 Bristol, UWE",(CAH09) mathematical sciences,0.554736348873946,278
"B80 Bristol, UWE",(CAH10) engineering and technology,0.53262081773077,2144
"B80 Bristol, UWE",(CAH11) computing,0.62772817921431,98
"B80 Bristol, UWE","(CAH13) architecture, building and planning",0.462568972261914,703
"B80 Bristol, UWE",(CAH15) social sciences,0.526547916795652,666
"B80 Bristol, UWE",(CAH16) law,0.483285591738911,1858
"B80 Bristol, UWE",(CAH17) business and management,0.504007858930155,7865
"B80 Bristol, UWE",(CAH22) education and teaching,0.393657521154315,491
B84 Brunel University of London,(CAH02) subjects allied to medicine,0.381025095152263,35
B84 Brunel University of London,(CAH03) biological and sport sciences,0.515588394610451,57
B84 Brunel University of London,(CAH09) mathematical sciences,0.573900450159551,559
B84 Brunel University of London,(CAH10) engineering and technology,0.558836587119251,2705
B84 Brunel University of London,(CAH11) computing,0.582730093901699,53
B84 Brunel University of London,(CAH15) social sciences,0.529858153913324,525
B84 Brunel University of London,(CAH16) law,0.491543152896035,991
B84 Brunel University of London,(CAH17) business and management,0.520020074125532,4391
B84 Brunel University of London,(CAH22) education and teaching,0.411177416821499,131
B90 University of Buckingham,(CAH01) medicine and dentistry,0.487926446140749,21
B90 University of Buckingham,(CAH10) engineering and technology,0.569072723282381,26
B90 University of Buckingham,(CAH15) social sciences,0.544641924736351,98
B90 University of Buckingham,(CAH16) law,0.480638830154224,356
B90 University of Buckingham,(CAH17) business and management,0.514260771566327,452
B93 Bury College,(CAH10) engineering and technology,0.465990622968347,24
B93 Bury College,(CAH11) computing,0.556651315338223,12
B93 Bury College,(CAH17) business and management,0.402940209169545,11
B94 Buckinghamshire New University,(CAH02) subjects allied to medicine,0.380126124713074,315
B94 Buckinghamshire New University,(CAH10) engineering and technology,0.538652848115492,293
B94 Buckinghamshire New University,(CAH11) computing,0.459407734956283,13
B94 Buckinghamshire New University,(CAH16) law,0.488146187482978,139
B94 Buckinghamshire New University,(CAH17) business and management,0.473841395675383,3128
B94 Buckinghamshire New University,(CAH22) education and teaching,0.378825092399301,51
C05 University of Cambridge,(CAH01) medicine and dentistry,0.43143445031714,528
C05 University of Cambridge,(CAH02) subjects allied to medicine,0.409471578237115,10
C05 University of Cambridge,(CAH03) biological and sport sciences,0.505415263592244,47
C05 University of Cambridge,(CAH07) physical sciences,0.543701652299196,283
C05 University of Cambridge,(CAH09) mathematical sciences,0.584063566912056,903
C05 University of Cambridge,(CAH10) engineering and technology,0.561001125773051,822
C05 University of Cambridge,"(CAH13) architecture, building and planning",0.485393275914703,341
C05 University of Cambridge,(CAH15) social sciences,0.531179164215778,1108
C05 University of Cambridge,(CAH16) law,0.48037223856984,1468
C05 University of Cambridge,(CAH17) business and management,0.517536432071906,494
C05 University of Cambridge,(CAH22) education and teaching,0.476678946464924,223
C09 Cambridge Regional College,(CAH10) engineering and technology,0.478828160405017,26
C09 Cambridge Regional College,(CAH11) computing,0.657953593265149,15
C09 Cambridge Regional College,(CAH17) business and management,0.388951924266314,18
C10 Canterbury Christ Church University,(CAH02) subjects allied to medicine,0.378229433216011,238
C10 Canterbury Christ Church University,(CAH03) biological and sport sciences,0.450380413999841,37
C10 Canterbury Christ Church University,(CAH10) engineering and technology,0.590154637274209,160
C10 Canterbury Christ Church University,(CAH11) computing,0.553005444594548,34
